organizer_id,signup_country,signup_date,first_event_create_date,first_publish_date,first_paid_publish_date,total_events_published,first_event_category,first_event_country,lifetime_revenue,lifetime_tickets
299360,USA,2007-09-25,2007-09-25,2008-09-30,2008-09-30,294,,US,716505.29,11933
304195,USA,2007-10-05,2007-10-05,2011-10-14,,39,,US,0.0,1032
308395,USA,2007-10-14,2007-10-14,2008-09-23,2008-09-23,1583,,US,557370.93,4006
337490,USA,2007-12-30,2007-12-30,2008-09-27,2008-10-01,184,,US,293501.72,51204
339010,USA,2008-01-03,2008-01-03,2008-12-16,2008-12-16,170,,CA,245935.13,605
346595,USA,2008-01-18,2008-01-18,2008-11-18,,22634,,US,0.0,20240
348990,USA,2008-01-24,2010-05-13,2014-03-30,,7,Business & Professional,US,0.0,167
351910,Australia,2008-01-31,2008-01-31,2009-01-07,,1174,,AU,0.0,12733
353830,USA,2008-02-05,2008-02-05,2010-11-16,2010-11-16,5,,,30.0,1
355215,USA,2008-02-08,2008-02-08,2009-10-16,2009-10-16,858,Family & Education,DO,681957.17,1984
357190,UK,2008-02-13,2008-02-13,2008-10-17,2009-10-16,113,,GB,117340.08,12503
357935,USA,2008-02-14,2008-02-14,2008-09-22,2008-09-22,179,,US,812032.22,20587
365700,Canada,2008-03-03,2008-03-03,2008-11-20,2009-09-17,95,,,124279.72,3292
368330,USA,2008-03-08,2008-03-08,2009-05-22,2009-05-22,886,,US,3197.88,146
371295,USA,2008-03-14,2008-03-14,2008-10-02,2008-10-02,6863,Performing & Visual Arts,US,1288060.83,90651
374135,USA,2008-03-20,2008-03-20,2008-09-21,2008-09-21,1476,,US,687430.35,46457
388115,USA,2008-04-15,2008-04-15,2008-12-16,2008-12-16,169,,US,58191.58,960
394930,USA,2008-04-28,2008-04-28,2008-10-08,2009-03-09,167,,,268784.18,6988
406270,USA,2008-05-19,2008-05-19,2008-09-23,2011-03-15,237,Film & Media & Entertainment,GB,172204.13,3324
411740,USA,2008-05-26,2008-05-26,2008-09-29,2008-09-29,1462,,US,3953181.32,16707
411835,UK,2008-05-27,2008-05-27,2008-11-04,2008-11-04,410,,GB,448778.68,8578
415580,USA,2008-05-30,2008-05-30,2008-09-19,2009-09-14,40,,US,640.4,4054
431110,Australia,2008-06-11,2008-06-11,2009-02-11,2009-10-18,247,,AU,3292.11,4128
435790,USA,2008-06-16,2008-06-16,2008-11-21,2008-11-21,76,,US,12363.74,1423
440730,USA,2008-06-21,2008-06-21,2015-05-17,,1,,US,0.0,1
442660,USA,2008-06-23,2008-06-23,2008-12-21,2009-06-11,583,,US,48419.86,81223
445730,USA,2008-06-26,2008-06-26,2009-06-19,2009-06-19,144,,GB,244505.38,12039
456395,USA,2008-07-07,2008-07-07,2008-09-23,2008-09-23,164,,US,5255.49,1514
457205,USA,2008-07-07,2008-07-08,2008-10-13,2008-10-13,344,,US,186580.3,11130
458670,USA,2008-07-08,2008-07-08,2008-10-28,,464,,,0.0,9229
464590,USA,2008-07-14,2008-07-14,2008-10-01,2008-10-01,94,,US,118222.41,5672
465910,UK,2008-07-15,2008-07-15,2008-10-17,2008-10-17,572,,GB,168452.99,9237
473335,UK,2008-07-22,2008-07-22,2008-09-19,2008-10-17,844,,GB,1294959.21,76698
487185,USA,2008-08-04,2008-08-04,2008-10-02,,371,,US,0.0,4755
489860,USA,2008-08-06,2008-08-06,2008-09-24,2009-06-03,430,,US,56561.07,7956
490945,USA,2008-08-07,2008-08-07,2009-01-20,2009-03-19,25,,US,53628.93,1781
494300,USA,2008-08-11,2008-08-11,2016-09-01,2016-09-01,3,Performing & Visual Arts,US,3223.5,67
495900,USA,2008-08-12,2008-08-14,2008-09-30,,170,,US,0.0,8885
505130,USA,2008-08-20,2011-05-18,2011-10-22,2011-10-22,129,Performing & Visual Arts,US,46632.44,1201
528395,USA,2008-09-09,2008-09-09,2013-03-13,2013-03-13,116,,US,523182.37,418
530900,USA,2008-09-10,2008-09-10,2008-10-02,2010-10-15,931,,US,63335.73,25084
538475,USA,2008-09-16,2008-09-16,2008-10-06,2008-10-29,15,,HU,0.0,182
547440,USA,2008-09-22,2008-09-22,2008-09-22,2008-09-22,463,,US,1152541.01,21684
635570,USA,2008-10-01,2016-05-17,2016-05-17,2016-05-31,35,,,200.0,88
727055,USA,2008-10-05,2009-04-05,2009-04-05,2009-04-05,76,,US,235328.49,2929
748510,USA,2008-10-06,2011-09-25,2011-09-25,2015-06-02,266,Business & Professional,US,15.0,492
1069750,USA,2008-10-19,2009-03-05,2009-03-05,2009-03-05,82,,US,22226.67,343
1145305,USA,2008-10-22,2008-10-22,2008-10-22,2008-10-22,107,,US,0.0,684
1157660,USA,2008-10-22,2008-11-10,2008-11-10,2009-03-27,101,,CA,10528.13,2535
1171845,UK,2008-10-23,2009-06-03,2009-06-03,2010-09-28,1307,Travel & Outdoor,GB,65405.22,34234
1185700,USA,2008-10-23,2012-09-25,2012-09-25,2013-07-10,529,,US,307906.77,20532
1264845,USA,2008-10-27,2014-06-04,2014-06-04,2014-06-04,4,Film & Media & Entertainment,US,2010.0,167
1393890,USA,2008-11-01,2008-11-01,2008-11-01,2008-11-01,267,,US,58333.38,5610
1428280,USA,2008-11-03,2012-07-27,2012-07-28,2012-07-28,173,Travel & Outdoor,US,18060.9,3195
1448310,USA,2008-11-04,2008-11-04,2008-11-04,,73,,US,0.0,922
1549095,USA,2008-11-07,2008-11-07,2008-11-07,2009-08-07,5057,,US,25640.98,17663
1561800,USA,2008-11-08,2008-11-08,2008-11-08,2008-11-08,61,,US,1033.8,950
1570775,USA,2008-11-09,2009-04-28,2014-10-15,2014-10-15,73,Health & Wellness,GB,198.71,25
1572970,USA,2008-11-09,2009-02-18,2009-02-18,2009-02-18,48,,US,43878.78,2929
1623175,USA,2008-11-11,2008-11-11,2008-11-11,2008-11-11,119,,US,1152405.13,12006
1641495,USA,2008-11-11,2013-05-27,2013-05-27,2014-01-09,18,,US,355.0,142
1689690,USA,2008-11-13,2014-07-13,2014-07-13,2014-07-13,189,Food & Drink,US,1484.1,879
1747060,USA,2008-11-16,2008-11-16,2008-11-16,2009-06-26,104,,US,9952.09,1263
1853220,USA,2008-11-20,2009-06-29,2014-04-11,2014-04-11,275,Film & Media & Entertainment,US,1.0,79
2004415,USA,2008-12-01,2008-12-01,2008-12-01,2008-12-01,23,,US,60284.8,958
2038430,USA,2008-12-02,2013-09-17,2013-09-18,2013-09-18,91,,US,35480.01,804
2042725,Singapore,2008-12-02,2008-12-02,2008-12-03,,1020,Business & Professional,SG,0.0,13
2052725,USA,2008-12-03,2010-03-17,2010-03-17,2015-09-21,71,,,56783.37,2063
2092510,USA,2008-12-05,2008-12-05,2008-12-05,2008-12-05,369,,GB,1172532.53,702
2145445,USA,2008-12-08,2008-12-08,2008-12-08,2008-12-08,21,Sports & Fitness,US,418460.49,4759
2173095,USA,2008-12-10,2014-11-10,2014-11-10,,3,,GB,0.0,139
2176520,USA,2008-12-10,2009-05-23,2009-05-23,2009-05-23,88,,US,49184.0,4735
2258385,Australia,2008-12-15,2008-12-15,2009-01-05,,2375,Performing & Visual Arts,AU,0.0,21961
2309975,USA,2008-12-18,2008-12-18,2009-01-02,2009-01-02,48,,US,35468.96,2167
2321110,USA,2008-12-19,2009-11-03,2009-11-03,2009-11-03,245,,US,223483.61,2248
2390285,USA,2008-12-26,2008-12-26,2008-12-26,2015-06-02,1202,,US,9007.96,28076
2399075,UK,2008-12-27,2012-08-22,2012-08-24,2012-08-24,11,Sports & Fitness,GB,15609.73,294
2485640,USA,2009-01-02,2013-08-17,2013-08-17,2013-08-17,346,Hobbies & Special Interest,US,450.0,3
2494780,USA,2009-01-04,2009-01-04,2009-01-05,2009-01-05,74,,US,262.0,750
2525565,USA,2009-01-05,2009-01-05,2009-01-05,2010-03-01,121,,US,131836.61,3967
2653205,USA,2009-01-09,2010-02-13,2010-02-14,2010-02-14,285,Performing & Visual Arts,US,3506.79,378
2677115,USA,2009-01-11,2016-02-18,2016-02-18,,672,Business & Professional,US,0.0,5847
2748385,USA,2009-01-13,2017-01-22,2017-01-24,,14,Science & Technology,,,0
2773630,USA,2009-01-14,2009-01-14,2009-01-14,2009-01-14,220,,US,83516.64,673
2831660,UK,2009-01-16,2009-01-16,2009-01-19,2009-05-18,177,,GB,16643.53,14997
2899390,USA,2009-01-19,2009-01-19,2009-01-20,2009-01-20,47,,US,1555.0,151
2908310,USA,2009-01-19,2009-01-19,2009-01-19,,217,,US,0.0,6813
2928835,Canada,2009-01-20,2009-10-13,2009-10-23,2010-08-27,72,,,74.67,3854
2959600,USA,2009-01-21,2013-11-16,2013-11-16,,7,,US,0.0,88
3100470,USA,2009-01-27,2011-12-20,2011-12-20,2011-12-20,41,,US,8048.09,1109
3131035,USA,2009-01-28,2014-10-21,2014-10-21,,132,Music,US,0.0,107
3167955,UK,2009-01-29,2009-01-29,2009-02-20,2015-10-25,347,,GB,0.0,3199
3214375,USA,2009-01-31,2009-01-31,2009-01-31,2009-01-31,48,,,577061.0,968
3275070,Canada,2009-02-03,2009-02-03,2009-02-03,2009-02-03,1109,,CA,229859.45,16083
3302850,USA,2009-02-03,2015-01-26,2015-01-27,,367,Government & Politics,US,0.0,26368
3414270,Canada,2009-02-07,2009-02-07,2009-02-07,2009-02-07,68,,CA,126245.1,88
3437520,USA,2009-02-09,2009-02-09,2009-02-09,2009-02-09,678,,US,60996.36,222
3545060,Canada,2009-02-11,2012-04-24,2012-04-24,2012-04-24,12,,CA,1109.02,119
3615405,USA,2009-02-14,2015-07-09,2015-07-09,2015-07-09,522,Music,US,1715.0,1677
3665205,USA,2009-02-17,2010-10-18,2010-10-18,,1387,Business & Professional,SG,0.0,1529
3708705,USA,2009-02-18,2009-02-18,2009-02-18,2009-02-18,219,,US,4012.37,169
3713285,USA,2009-02-18,2009-02-18,2009-02-18,,1315,,US,0.0,11981
3716450,Canada,2009-02-18,2009-02-18,2009-02-18,2009-02-18,150,,CA,4139424.74,15491
3737655,Canada,2009-02-18,2009-02-18,2009-02-19,2009-06-08,159,,CA,532.37,1509
3869725,USA,2009-02-23,2009-02-23,2009-03-16,2009-03-16,657,,US,112548.67,12611
3903555,USA,2009-02-24,2009-02-24,2009-02-24,2010-10-12,305,,US,26850.56,8694
3907480,Canada,2009-02-24,2010-10-20,2010-10-20,,46,,CA,0.0,2396
4012590,UK,2009-02-27,2009-02-27,2009-03-02,2009-03-05,190,,GB,0.0,6400
4050715,USA,2009-03-01,2009-03-01,2009-05-27,2009-05-27,884,,,57645.99,189
4117875,USA,2009-03-03,2014-02-24,2014-02-26,,463,,,0.0,553
4142615,USA,2009-03-04,2016-07-18,2016-07-18,2016-07-18,4,Performing & Visual Arts,GB,635.38,33
4197785,Spain,2009-03-05,2016-08-26,2016-09-09,,2,Government & Politics,PE,0.0,139
4281415,UK,2009-03-09,2009-06-01,2009-06-17,2009-06-17,728,,GB,115604.09,4972
4376390,USA,2009-03-11,2009-03-11,2009-03-11,2009-03-11,330,Travel & Outdoor,US,2049051.21,7439
4385025,Canada,2009-03-11,2009-03-11,2009-03-11,2017-01-18,43,,CA,240.67,1448
4394210,USA,2009-03-12,2016-03-04,2016-03-04,,5,Film & Media & Entertainment,US,0.0,184
4396310,UK,2009-03-12,2009-03-12,2009-03-12,2009-03-12,704,,GB,3338.52,242
4409030,USA,2009-03-12,2009-04-23,2009-04-27,,66,,US,0.0,8095
4425490,Canada,2009-03-12,2013-12-26,2013-12-26,2014-02-10,33,,CA,1933.41,650
4426390,Canada,2009-03-12,2009-03-12,2009-03-12,2009-03-12,217,,CA,116364.27,6122
4488575,UK,2009-03-16,2009-03-16,2009-03-17,,290,,GB,16.1,4932
4541755,USA,2009-03-17,2010-08-24,2010-08-24,2010-08-24,636,Travel & Outdoor,US,376866.93,12130
4556720,USA,2009-03-17,2009-12-11,2010-01-12,2010-01-12,66,,US,947.21,1198
4597285,USA,2009-03-18,2012-03-13,2012-03-13,2012-03-13,10,,US,5379.3,155
4627505,USA,2009-03-19,2012-10-13,2012-10-13,2013-05-01,74,,US,25917.78,1709
4680375,USA,2009-03-20,2013-09-09,2013-09-09,2013-09-13,124,,US,13089.03,1331
4804105,USA,2009-03-25,2009-04-09,2009-04-23,2009-08-19,710,Business & Professional,US,235087.95,33431
4952620,USA,2009-03-30,2009-03-30,2009-06-04,2009-06-04,85,,US,587775.86,2255
5059085,USA,2009-04-02,2013-06-19,2013-06-20,2013-06-20,55,Music,US,63031.83,956
5222370,USA,2009-04-08,2009-04-08,2009-09-15,2009-09-15,7,Music,US,5.0,3
5270965,USA,2009-04-09,2009-09-03,2009-09-03,2010-08-10,201,,US,15707.07,1169
5303120,USA,2009-04-10,2015-02-23,2015-04-14,2015-04-14,143,Business & Professional,US,4528.39,127
5307605,USA,2009-04-10,2011-04-21,2016-09-30,,3,,US,0.0,2
5499205,USA,2009-04-16,2009-09-14,2009-09-15,2009-09-15,200,Business & Professional,US,81203.29,2385
5560600,USA,2009-04-17,2015-04-17,2015-04-17,2015-04-17,246,Performing & Visual Arts,US,235270.66,14453
5590025,USA,2009-04-19,2009-04-19,2009-04-19,2009-04-19,405,,GB,133.92,2
5617785,USA,2009-04-20,2009-05-19,2009-05-19,2009-05-19,172,,US,2647198.02,2545
5695715,UK,2009-04-21,2011-08-11,2011-08-11,2011-12-28,498,Business & Professional,GB,9833.69,2819
5773970,USA,2009-04-23,2009-04-23,2009-06-23,2009-06-23,743,Music,US,118976.31,13128
5881665,USA,2009-04-27,2016-02-12,2016-02-12,2016-02-12,1,,US,140.0,13
5940530,USA,2009-04-29,2012-01-08,2012-01-08,2012-01-08,10,,,6206.65,150
5977070,USA,2009-04-30,2011-09-09,2011-10-04,2011-10-04,77,,GB,9826.57,50
5982180,Canada,2009-04-30,2010-02-09,2012-05-29,,260,Other,CA,0.0,4097
5983345,UK,2009-04-30,2009-07-22,2010-05-03,2011-04-20,828,,GB,520687.63,29068
5987990,USA,2009-04-30,2009-04-30,2011-03-23,2011-03-23,32,,IT,0.0,2156
6105385,USA,2009-05-04,2009-05-04,2009-05-14,2009-05-14,925,,US,53480.34,18820
6212870,USA,2009-05-07,2014-03-25,2014-03-31,2014-03-31,23,Business & Professional,US,47189.74,1687
6258890,USA,2009-05-08,2010-09-11,2010-09-11,2010-09-11,81,Food & Drink,US,170.0,283
6308280,USA,2009-05-10,2014-07-06,2014-07-06,2014-07-06,4,,AU,2252.07,58
6320910,USA,2009-05-11,2011-05-04,2011-05-09,2011-05-09,179,Food & Drink,US,30316.85,866
6334785,USA,2009-05-11,2010-01-11,2010-01-11,2010-01-11,474,Film & Media & Entertainment,US,45618.66,937
6384625,USA,2009-05-12,2013-11-09,2013-11-09,,27,Other,US,1.0,706
6397255,UK,2009-05-13,2009-05-18,2014-05-27,2014-05-27,266,Business & Professional,GB,22767.61,903
6439040,USA,2009-05-13,2009-06-01,2009-06-01,2011-03-06,21,,US,15151.96,860
6483550,USA,2009-05-15,2015-03-17,2015-03-17,2015-03-17,3,Health & Wellness,US,0.0,56
6565150,USA,2009-05-18,2009-05-18,2009-08-20,2009-08-20,1002,,US,410125.19,25664
6609075,USA,2009-05-19,2012-12-22,2012-12-22,2012-12-22,116,Food & Drink,US,368695.05,6026
6633840,UK,2009-05-20,2009-05-20,2009-05-20,2009-05-20,241,Business & Professional,GB,305.03,12
6669130,USA,2009-05-20,2014-02-19,2014-02-19,2014-11-19,15,Religion & Spirituality,US,1303.8,75
6771770,USA,2009-05-25,2009-05-25,2009-05-25,2009-05-25,317,Business & Professional,US,280608.47,954
6805140,USA,2009-05-26,2011-06-11,2011-06-11,,2,,US,0.0,3
6861655,USA,2009-05-27,2010-01-07,2010-09-09,2011-01-26,24,,US,13995.53,232
6916045,USA,2009-05-29,2012-09-19,2012-09-19,2014-03-15,605,Travel & Outdoor,US,0.0,733
6929590,USA,2009-05-29,2009-05-29,2009-06-04,2009-06-04,771,,US,2544790.49,3146
7067120,USA,2009-06-03,2009-06-03,2009-06-04,,22,,DE,0.0,648
7073445,USA,2009-06-03,2012-04-24,2012-04-24,2012-04-24,86,,CA,2425.57,1305
7095845,USA,2009-06-03,2009-06-03,2009-06-03,2009-06-03,20,Performing & Visual Arts,US,408.36,239
7100465,USA,2009-06-03,2009-08-09,2009-08-09,2015-03-23,952,Health & Wellness,US,0.0,255
7104035,USA,2009-06-03,2009-06-03,2009-06-03,2009-06-03,768,,,2352.32,21
7119895,USA,2009-06-04,2009-06-04,2009-06-09,2009-09-23,1605,,US,1753513.61,11466
7155835,UK,2009-06-05,2009-06-05,2009-07-16,2013-03-05,544,,GB,936.13,37458
7207175,USA,2009-06-07,2009-06-07,2009-06-18,2014-12-04,678,,US,0.0,15601
7374480,USA,2009-06-11,2009-06-11,2009-06-11,2009-06-11,21882,,,559.05,179
7392115,USA,2009-06-11,2009-06-11,2009-06-11,2009-06-11,1051,,US,53094.34,736
7490415,USA,2009-06-15,2009-06-15,2009-06-15,,124,,,0.0,3562
7651165,USA,2009-06-19,2011-06-17,2011-06-17,2011-06-17,41,,US,102092.75,6681
7721160,USA,2009-06-22,2012-04-01,2013-11-25,2013-11-25,34,,US,3206.26,176
7721735,USA,2009-06-22,2010-11-03,2010-11-03,2011-06-15,30,Other,US,21498.05,316
7804345,Australia,2009-06-24,2009-06-24,2009-07-08,2012-03-28,1151,,AU,50453.45,13767
7813510,USA,2009-06-25,2010-03-22,2010-03-23,2011-02-28,130,,US,106273.02,11876
7838275,USA,2009-06-25,2012-07-30,2015-01-02,2015-02-13,195,Performing & Visual Arts,US,1620.0,70
7924855,Ireland,2009-06-30,2009-06-30,2009-07-14,,1581,,,0.0,10052
7986750,USA,2009-07-02,2009-09-01,2009-09-01,2014-01-07,113,,US,49015.35,3932
8022375,USA,2009-07-03,2012-10-08,2012-10-08,2012-10-08,145,,US,15601.0,716
8051755,USA,2009-07-05,2009-07-05,2009-09-13,2009-09-13,10042,,US,5405.76,1045
8167315,UK,2009-07-09,2011-09-16,2011-09-22,2011-09-22,28,,GB,42198.85,1168
8223740,USA,2009-07-10,2009-07-10,2009-08-04,2009-08-04,813,Music,US,303978.15,113529
8288320,USA,2009-07-13,2013-01-28,2013-01-28,2014-01-21,27,,US,15974.21,5412
8462100,USA,2009-07-18,2009-07-18,2010-10-27,2010-10-27,73,Food & Drink,US,178166.45,4013
8519780,UK,2009-07-21,2009-07-21,2009-07-22,2010-05-11,516,,GB,175403.37,15300
8559625,USA,2009-07-22,2011-03-21,2011-03-24,2011-05-24,237,,US,330.0,329
8743050,USA,2009-07-28,2009-07-28,2009-11-16,2010-02-28,300,,US,35255.0,6824
8767800,USA,2009-07-29,2009-07-29,2009-08-03,2009-08-03,654,,US,584118.32,12671
8933850,USA,2009-08-04,2009-08-04,2009-08-04,2009-08-04,185,,US,22070.9,1035
8972020,USA,2009-08-05,2009-08-05,2009-08-05,2016-06-09,15,,US,0.0,221
8990230,UK,2009-08-06,2010-07-07,2010-07-07,2010-07-07,7,Film & Media & Entertainment,GB,713.54,86
9010810,USA,2009-08-06,2010-04-05,2010-04-05,,1689,,US,0.0,14715
9092720,USA,2009-08-10,2009-08-10,2016-07-12,,1,Business & Professional,NG,,0
9102005,USA,2009-08-10,2011-06-23,2011-06-23,2011-06-23,20,,NO,90169.41,1347
9108080,USA,2009-08-10,2009-08-10,2009-09-01,2009-10-22,367,,US,0.0,17243
9213290,Canada,2009-08-12,2012-05-02,2012-05-02,2012-10-17,374,,,69132.16,8233
9237430,USA,2009-08-13,2009-08-13,2009-08-13,2009-08-13,13,,,6568.5,41
9252805,USA,2009-08-13,2012-11-09,2012-11-09,,107,Family & Education,,0.0,1693
9262935,USA,2009-08-13,2009-08-13,2009-08-13,2009-12-23,206,,,98964.59,8150
9369795,Canada,2009-08-17,2012-07-18,2012-08-22,2014-07-24,58,Family & Education,CA,997.03,3168
9400090,USA,2009-08-18,2009-09-01,2009-09-01,2009-09-01,2384,,US,1675975.48,17369
9401630,USA,2009-08-18,2010-05-12,2010-05-26,,122,,US,0.0,8317
9406115,USA,2009-08-18,2009-08-18,2009-08-18,2009-08-18,53,Film & Media & Entertainment,US,2003206.45,10459
9456165,USA,2009-08-19,2009-08-19,2009-12-28,2009-12-28,2712,Music,US,2670010.54,70999
9476025,USA,2009-08-19,2011-12-29,2012-01-06,2013-01-07,334,,US,116412.55,3912
9491065,USA,2009-08-20,2009-08-20,2009-08-20,,326,,US,0.0,3754
9524155,USA,2009-08-20,2009-08-20,2009-09-10,2009-09-10,234,Music,US,768073.5,67622
9586700,USA,2009-08-22,2009-08-22,2009-10-05,2009-10-05,51,,US,1425.0,2466
9591075,USA,2009-08-22,2012-07-09,2012-07-09,2012-07-09,62,,US,92103.46,4803
9619165,USA,2009-08-24,2009-08-24,2009-09-01,2012-03-14,660,,GB,7459.94,19955
9685410,USA,2009-08-25,2012-12-23,2012-12-23,2012-12-23,26,,US,12295.87,282
9704295,USA,2009-08-25,2009-08-25,2009-08-25,2009-08-25,4613,,US,12589574.88,301261
9757415,USA,2009-08-26,2015-12-10,2015-12-10,,218,Business & Professional,US,0.0,591
9771455,USA,2009-08-26,2016-05-19,2016-05-19,,1238,Business & Professional,US,0.0,381
9789670,USA,2009-08-27,2012-08-20,2012-08-20,2012-08-20,604,,US,189846.28,7763
9923105,USA,2009-08-31,2010-08-12,2010-08-25,2010-08-25,115,,,4585.0,4890
9960965,USA,2009-08-31,2009-08-31,2009-10-05,,67,,,0.0,2509
10026225,USA,2009-09-01,2011-09-05,2011-09-05,,349,,US,0.0,10191
10153645,USA,2009-09-04,2009-09-04,2009-09-08,2009-09-08,432,,US,146552.89,3645
10179135,USA,2009-09-04,2009-09-04,2009-09-04,,906,,,0.0,19728
10256250,USA,2009-09-07,2009-09-07,2009-09-07,2013-03-08,394,,US,4941.67,3078
10276005,USA,2009-09-08,2015-05-04,2016-02-05,,54,Health & Wellness,,0.0,1
10291080,USA,2009-09-08,2015-09-02,2015-09-02,,247,Other,US,0.0,143
10352135,USA,2009-09-09,2013-03-26,2013-03-26,2013-03-26,50,,US,68670.88,1623
10394290,USA,2009-09-10,2014-08-11,2014-08-14,,195,Business & Professional,US,0.0,836
10401305,USA,2009-09-10,2009-09-10,2009-09-10,,31,,US,0.0,294
10407360,USA,2009-09-10,2016-11-30,2016-11-30,,36,Performing & Visual Arts,US,,0
10457515,USA,2009-09-11,2009-09-11,2009-09-11,2009-09-11,137,Performing & Visual Arts,US,59113.88,1469
10481570,USA,2009-09-11,2012-06-04,2015-01-24,2015-01-24,2,,US,6216.0,78
10553445,USA,2009-09-14,2014-06-09,2014-06-09,2014-06-09,1,Charity & Causes,US,55.0,5
10555930,USA,2009-09-14,2009-09-14,2009-09-14,2009-09-14,231,,US,26345.57,1994
10574915,Canada,2009-09-14,2009-09-14,2009-09-14,2009-09-14,298,Performing & Visual Arts,CA,1171.25,12612
10623560,USA,2009-09-15,2009-09-19,2009-09-19,2009-11-26,1094,,US,2485.0,5401
10765400,USA,2009-09-17,2009-09-17,2009-10-19,2009-10-19,97,,,3869044.97,28850
10771465,USA,2009-09-17,2009-09-17,2009-09-21,2009-09-21,14,,US,227996.91,841
10808605,Singapore,2009-09-17,2009-09-17,2009-09-18,,140,Family & Education,SG,0.0,5809
10838430,USA,2009-09-18,2010-12-14,2010-12-14,2010-12-14,331,Sports & Fitness,US,103949.66,3401
11099610,USA,2009-09-24,2011-03-03,2011-03-07,2011-03-07,979,Other,US,1288424.87,14870
11132630,USA,2009-09-24,2016-01-06,2016-01-07,2016-01-07,1,Charity & Causes,CA,7146.61,90
11214725,USA,2009-09-26,2009-09-26,2009-09-26,2010-08-25,880,,US,68533.36,1410
11307480,USA,2009-09-29,2012-10-24,2012-10-29,,16,,,0.0,244
11311360,UK,2009-09-29,2009-09-29,2009-10-13,2009-10-13,2076,Music,GB,105643.14,6832
11587990,UK,2009-10-05,2009-10-05,2010-05-11,2010-05-11,22,,GB,33288.68,1333
11677305,USA,2009-10-06,2009-10-06,2014-10-19,2014-11-28,196,,DE,170.72,36
11734155,USA,2009-10-07,2009-10-07,2009-10-12,2009-10-12,27,Performing & Visual Arts,US,12441.5,437
11749060,USA,2009-10-07,2011-09-28,2011-10-03,2011-10-03,1883,,,621104.93,43895
11767995,UK,2009-10-08,2015-09-23,2015-09-23,2015-09-23,389,Health & Wellness,GB,,0
11812280,Australia,2009-10-08,2009-10-08,2010-06-21,2010-10-21,1301,Business & Professional,AU,137680.75,16779
11940360,USA,2009-10-12,2009-10-12,2009-10-13,2009-10-13,5773,,US,1449006.13,114545
11962020,USA,2009-10-12,2009-10-12,2009-10-21,2009-11-06,3318,,US,689515.2,32685
12050095,UK,2009-10-14,2010-04-06,2010-04-06,,125,,GB,0.0,10228
12063555,USA,2009-10-14,2009-10-14,2009-10-14,2009-10-29,570,,US,153489.98,19422
12090190,USA,2009-10-14,2014-01-26,2014-02-04,2014-02-04,1,,US,,0
12251560,USA,2009-10-18,2014-02-26,2014-02-26,2014-02-26,3,Food & Drink,US,225.0,15
